source_job_id,url,title_clean,normalized_title,role_family,reason
7590626003,https://job-boards.greenhouse.io/truebill/jobs/7590626003,"Senior Full Stack Engineer, Credit Products",fullstack_engineer,fullstack,product_title_family_mismatch
7641073003,https://job-boards.greenhouse.io/truebill/jobs/7641073003,"Senior Full Stack Engineer, Product",fullstack_engineer,fullstack,product_title_family_mismatch
7501181003,https://job-boards.greenhouse.io/truebill/jobs/7501181003,"Senior ML Engineer, Product",ml_engineer,machine_learning,product_title_family_mismatch
7641075003,https://job-boards.greenhouse.io/truebill/jobs/7641075003,"Senior Product Engineer, Compass",software_engineer,software_engineering,product_title_family_mismatch
7583320003,https://job-boards.greenhouse.io/truebill/jobs/7583320003,"Senior Product Engineer, Rocket Ready",software_engineer,software_engineering,product_title_family_mismatch
6657749003,https://job-boards.greenhouse.io/truebill/jobs/6657749003,"Staff ML Engineer, Product",ml_engineer,machine_learning,product_title_family_mismatch
7598590003,https://job-boards.greenhouse.io/truebill/jobs/7598590003,"Team Leader, Data Analytics - Product",data_analyst,data_analytics,product_title_family_mismatch
7619953003,https://job-boards.greenhouse.io/truebill/jobs/7619953003,"Technical Program Manager, Data",technical_program_manager,program_management,data_title_family_mismatch
7166369,https://job-boards.greenhouse.io/gofundme/jobs/7166369,Principal Product Marketing Manager,marketing_specialist,marketing,product_title_family_mismatch
6081057,https://job-boards.greenhouse.io/gofundme/jobs/6081057,"Principal Product Marketing Manager, Nonprofits",marketing_specialist,marketing,product_title_family_mismatch
7298988,https://job-boards.greenhouse.io/gofundme/jobs/7298988,"Product Marketing Lead, Nonprofits",marketing_specialist,marketing,product_title_family_mismatch
7398239,https://job-boards.greenhouse.io/gofundme/jobs/7398239,Senior Product Designer,product_designer,design,product_title_family_mismatch
7584501,https://job-boards.greenhouse.io/gofundme/jobs/7584501,Senior Revenue Accountant,accountant,finance,sales_title_family_mismatch
7592223,https://job-boards.greenhouse.io/gofundme/jobs/7592223,Staff Product Designer,product_designer,design,product_title_family_mismatch
8425563002,https://job-boards.greenhouse.io/levio/jobs/8425563002,HRIS Business Analyst,business_analyst,business_analysis,hr_title_family_mismatch
8425530002,https://job-boards.greenhouse.io/levio/jobs/8425530002,HRIS PMO Project Manager,manager,operations,hr_title_family_mismatch
7287511,https://job-boards.greenhouse.io/webflow/jobs/7287511,"Director of Product, Infrastructure and Developer Productivity",software_engineer,software_engineering,product_title_family_mismatch
7648674,https://job-boards.greenhouse.io/webflow/jobs/7648674,"Engineering Manager, Datastores",software_engineer,software_engineering,data_title_family_mismatch
7293932,https://job-boards.greenhouse.io/webflow/jobs/7293932,Senior Database Engineer,software_engineer,software_engineering,data_title_family_mismatch
7658245,https://job-boards.greenhouse.io/webflow/jobs/7658245,"Senior Product Designer, Analyze",product_designer,design,product_title_family_mismatch
7558007,https://job-boards.greenhouse.io/webflow/jobs/7558007,"Senior Product Designer, Lifecycle",product_designer,design,product_title_family_mismatch
7658221,https://job-boards.greenhouse.io/webflow/jobs/7658221,Senior Product Design Manager,product_designer,design,product_title_family_mismatch
7624566,https://job-boards.greenhouse.io/webflow/jobs/7624566,"Staff Product Designer, New Products",product_designer,design,product_title_family_mismatch
7271901,https://job-boards.greenhouse.io/webflow/jobs/7271901,"Webflow Lead Solutions Architect, Strategic Accounts",solutions_architect,architecture,sales_title_family_mismatch
6605731003,https://job-boards.greenhouse.io/celonis/jobs/6605731003?gh_jid=6605731003,Application Product Manager - Accounts Payable,product_manager,product_management,sales_title_family_mismatch
7627624003,https://job-boards.greenhouse.io/celonis/jobs/7627624003?gh_jid=7627624003,Associate Value Engineer (AI-Driven Data Science & Analytics) - Orbit Program,software_engineer,software_engineering,data_title_family_mismatch
7627647003,https://job-boards.greenhouse.io/celonis/jobs/7627647003?gh_jid=7627647003,Associate Value Engineer (AI-Driven Data Science & Analytics) - Orbit Program,software_engineer,software_engineering,data_title_family_mismatch
7627604003,https://job-boards.greenhouse.io/celonis/jobs/7627604003?gh_jid=7627604003,Corporate Accounting Manager,manager,operations,sales_title_family_mismatch
7532064003,https://job-boards.greenhouse.io/celonis/jobs/7532064003?gh_jid=7532064003,Lead Consultant - Data Science & Artificial Intelligence,consultant,consulting,data_title_family_mismatch
7633877003,https://job-boards.greenhouse.io/celonis/jobs/7633877003?gh_jid=7633877003,Lead Solution Consultant (Data & AI) - Financial Services and Insurance,consultant,consulting,data_title_family_mismatch
7540471003,https://job-boards.greenhouse.io/celonis/jobs/7540471003?gh_jid=7540471003,Principal Product Manager - Celonis Data Core,product_manager,product_management,data_title_family_mismatch
7540468003,https://job-boards.greenhouse.io/celonis/jobs/7540468003?gh_jid=7540468003,Principal Product Manager - Celonis Data Core,product_manager,product_management,data_title_family_mismatch
7566428003,https://job-boards.greenhouse.io/celonis/jobs/7566428003?gh_jid=7566428003,Product Data Scientist,data_scientist,data_science,product_title_family_mismatch
7600432003,https://job-boards.greenhouse.io/celonis/jobs/7600432003?gh_jid=7600432003,Product Engineer Sustainability Intern,software_engineer,software_engineering,product_title_family_mismatch
7594944003,https://job-boards.greenhouse.io/celonis/jobs/7594944003?gh_jid=7594944003,Senior Consultant - Data Analytics and Supply Chain Transformation,consultant,consulting,data_title_family_mismatch
7614040003,https://job-boards.greenhouse.io/celonis/jobs/7614040003?gh_jid=7614040003,Senior Management Consultant (AI & Data) - Public Sector,consultant,consulting,data_title_family_mismatch
6685374003,https://job-boards.greenhouse.io/celonis/jobs/6685374003?gh_jid=6685374003,"Senior Manager, Technical Accounting & Financial Reporting",manager,operations,sales_title_family_mismatch
7592901003,https://job-boards.greenhouse.io/celonis/jobs/7592901003?gh_jid=7592901003,"Senior Manager, Technical Accounting & Financial Reporting",manager,operations,sales_title_family_mismatch
6610627003,https://job-boards.greenhouse.io/celonis/jobs/6610627003?gh_jid=6610627003,Senior Product Marketing Manager - IT Modernization,marketing_specialist,marketing,product_title_family_mismatch
7639697003,https://job-boards.greenhouse.io/celonis/jobs/7639697003?gh_jid=7639697003,Senior Product Operations Manager,operations_manager,operations,product_title_family_mismatch
7612653003,https://job-boards.greenhouse.io/celonis/jobs/7612653003?gh_jid=7612653003,Senior Product Operations Manager,operations_manager,operations,product_title_family_mismatch
6554352003,https://job-boards.greenhouse.io/celonis/jobs/6554352003?gh_jid=6554352003,Senior Product Security Engineer,software_engineer,software_engineering,product_title_family_mismatch
6320587003,https://job-boards.greenhouse.io/celonis/jobs/6320587003?gh_jid=6320587003,Senior Services Consultant (AI & Process Analytics),consultant,consulting,data_title_family_mismatch
